location_name,datetimeLocal,co,no2,o3,pm1,pm10,pm25,relativehumidity,temperature,um003
Addis Ababa Central,2025-08-03T04:00:00+03:00,,,,,,15.0,,,
Addis Ababa Central,2025-08-03T05:00:00+03:00,,,,,,15.0,,,
Addis Ababa Central,2025-08-03T06:00:00+03:00,,,,,,20.0,,,
Addis Ababa Central,2025-08-03T07:00:00+03:00,,,,,,31.0,,,
Addis Ababa Central,2025-08-03T08:00:00+03:00,,,,,,15.0,,,
Addis Ababa Central,2025-08-03T09:00:00+03:00,,,,,,13.0,,,
Addis Ababa Central,2025-08-03T10:00:00+03:00,,,,,,25.0,,,
Addis Ababa Central,2025-08-03T11:00:00+03:00,,,,,,21.0,,,
Addis Ababa Central,2025-08-03T12:00:00+03:00,,,,,,19.0,,,
Addis Ababa Central,2025-08-03T13:00:00+03:00,,,,,,26.0,,,
Addis Ababa Central,2025-08-03T14:00:00+03:00,,,,,,32.0,,,
Addis Ababa Central,2025-08-03T17:00:00+03:00,,,,,,32.0,,,
Addis Ababa Central,2025-08-03T19:00:00+03:00,,,,,,36.0,,,
Addis Ababa Central,2025-08-03T20:00:00+03:00,,,,,,32.0,,,
Addis Ababa Central,2025-08-03T21:00:00+03:00,,,,,,37.0,,,
Addis Ababa Central,2025-08-03T22:00:00+03:00,,,,,,34.0,,,
Addis Ababa Central,2025-08-03T23:00:00+03:00,,,,,,46.0,,,
Addis Ababa Central,2025-08-04T00:00:00+03:00,,,,,,46.0,,,
Addis Ababa Central,2025-08-04T02:00:00+03:00,,,,,,18.0,,,
Addis Ababa Central,2025-08-04T03:00:00+03:00,,,,,,23.0,,,
Calabar,2025-08-03T03:09:46+01:00,,,,,,16.73,,,
Calabar,2025-08-03T03:27:11+01:00,,,,,,22.46,,,
Calabar,2025-08-03T03:44:35+01:00,,,,,,61.48,,,
Calabar,2025-08-03T04:02:01+01:00,,,,,,45.88,,,
Calabar,2025-08-03T04:19:26+01:00,,,,,,25.6,,,
Calabar,2025-08-03T04:36:51+01:00,,,,,,62.03,,,
Calabar,2025-08-03T04:54:16+01:00,,,,,,21.29,,,
Calabar,2025-08-03T06:03:59+01:00,,,,,,18.9,,,
Calabar,2025-08-03T06:21:24+01:00,,,,,,19.15,,,
Calabar,2025-08-03T06:38:49+01:00,,,,,,18.46,,,
Calabar,2025-08-03T06:56:14+01:00,,,,,,21.27,,,
Calabar,2025-08-03T08:05:58+01:00,,,,,,22.56,,,
Calabar,2025-08-03T08:23:23+01:00,,,,,,22.54,,,
Calabar,2025-08-03T08:40:51+01:00,,,,,,17.25,,,
Calabar,2025-08-03T08:58:18+01:00,,,,,,20.79,,,
Calabar,2025-08-03T11:00:18+01:00,,,,,,15.77,,,
Calabar,2025-08-03T11:17:43+01:00,,,,,,13.53,,,
Calabar,2025-08-03T11:35:07+01:00,,,,,,14.84,,,
Calabar,2025-08-03T11:52:35+01:00,,,,,,12.53,,,
